year,n_rows,default_rate,pred_positive_rate,auc,f1,time_gap,model,threshold,mean_pred,brier_score,ece,abs_mean_prob_minus_default_rate,drift_n_rows,drift_default_rate,train_default_rate,default_rate_shift_from_train,first_test_year_default_rate,default_rate_shift_from_first_test_year,mean_psi,median_psi,max_psi,num_features,num_features_psi_gt_0_10,num_features_psi_gt_0_25
2015,375543,0.2018463930894731,0.4435710424638457,0.6556791189432426,0.39026000280548884,1,logreg,0.1743370848987072,0.16947354077648094,0.1547501772910569,0.032468362243949174,0.03237285231299217,375543,0.2018463930894731,0.1564745862627979,0.045371806826675215,0.2018463930894731,0.0,0.047032326481041054,0.02868478180483596,0.10845630572721073,7,1,0
2016,293057,0.23281818895300233,0.4227368737139874,0.6542006101015617,0.4193009395414205,2,logreg,0.1743370848987072,0.16650727433341533,0.17426869535140138,0.06644758053650805,0.06631091461958699,293057,0.23281818895300233,0.1564745862627979,0.07634360269020443,0.2018463930894731,0.030971795863529217,0.04781375060254434,0.036685886502245156,0.10749264569148728,7,1,0
2017,169117,0.23127184138791487,0.3803461508896208,0.6630320138732491,0.42007057572388457,3,logreg,0.1743370848987072,0.1594969064772461,0.1737566781684721,0.07285798442241634,0.07177493491066878,169117,0.23127184138791487,0.1564745862627979,0.07479725512511698,0.2018463930894731,0.029425448298441764,0.05590629648304494,0.04909575786985412,0.13449340924242134,7,1,0
2018,56160,0.15751424501424502,0.3212250712250712,0.6591251580459605,0.3337796622777654,4,logreg,0.1743370848987072,0.14917752728518144,0.12754491953478728,0.010512876665391987,0.00833671772906358,56160,0.15751424501424502,0.1564745862627979,0.0010396587514471256,0.2018463930894731,-0.04433214807522809,0.07810202618216407,0.06930966115115475,0.13131710699867374,7,2,0
2015,375543,0.2018463930894731,0.5856692842097976,0.6216685416465537,0.369147849844123,1,mlp,0.1569245504673814,0.16980087362660365,0.15753185689822172,0.03204551946286951,0.03204551946286946,375543,0.2018463930894731,0.1564745862627979,0.045371806826675215,0.2018463930894731,0.0,0.047032326481041054,0.02868478180483596,0.10845630572721073,7,1,0
2016,293057,0.23281818895300233,0.5718614467492672,0.6190507758705758,0.40423718391803815,2,mlp,0.1569245504673814,0.16759597669006024,0.17751981144051357,0.06522221226294211,0.06522221226294209,293057,0.23281818895300233,0.1564745862627979,0.07634360269020443,0.2018463930894731,0.030971795863529217,0.04781375060254434,0.036685886502245156,0.10749264569148728,7,1,0
2017,169117,0.23127184138791487,0.5302187243151191,0.6290790285305278,0.4065972464882242,3,mlp,0.1569245504673814,0.16095723101506615,0.17662535364665263,0.07031461037284875,0.07031461037284872,169117,0.23127184138791487,0.1564745862627979,0.07479725512511698,0.2018463930894731,0.029425448298441764,0.05590629648304494,0.04909575786985412,0.13449340924242134,7,1,0
2018,56160,0.15751424501424502,0.4652599715099715,0.626420798503857,0.3111365260900643,4,mlp,0.1569245504673814,0.15153376376878847,0.1292422649255459,0.00598048124545659,0.005980481245456554,56160,0.15751424501424502,0.1564745862627979,0.0010396587514471256,0.2018463930894731,-0.04433214807522809,0.07810202618216407,0.06930966115115475,0.13131710699867374,7,2,0
2015,375543,0.2018463930894731,0.47577241487659205,0.6560246983326474,0.38858041064937615,1,xgboost,0.16295350513544427,0.1685134470462799,0.15443363861069187,0.033348283094713244,0.0333329460431932,375543,0.2018463930894731,0.1564745862627979,0.045371806826675215,0.2018463930894731,0.0,0.047032326481041054,0.02868478180483596,0.10845630572721073,7,1,0
2016,293057,0.23281818895300233,0.4500592034996605,0.6540045954184368,0.4208232977883491,2,xgboost,0.16295350513544427,0.16386407613754272,0.17435697503047956,0.06900820061253038,0.0689541128154596,293057,0.23281818895300233,0.1564745862627979,0.07634360269020443,0.2018463930894731,0.030971795863529217,0.04781375060254434,0.036685886502245156,0.10749264569148728,7,1,0
2017,169117,0.23127184138791487,0.4074457328358474,0.660986041087096,0.4206150826714066,3,xgboost,0.16295350513544427,0.15544572472572327,0.17393688978130445,0.07583138445815864,0.0758261166621916,169117,0.23127184138791487,0.1564745862627979,0.07479725512511698,0.2018463930894731,0.029425448298441764,0.05590629648304494,0.04909575786985412,0.13449340924242134,7,1,0
2018,56160,0.15751424501424502,0.3486645299145299,0.6613862234278576,0.3346818165828262,4,xgboost,0.16295350513544427,0.14610829949378967,0.12691820324189743,0.013603494024455431,0.011405945520455346,56160,0.15751424501424502,0.1564745862627979,0.0010396587514471256,0.2018463930894731,-0.04433214807522809,0.07810202618216407,0.06930966115115475,0.13131710699867374,7,2,0
