bin_id,bin_lower,bin_upper,n_bin,mean_pred,frac_positive,abs_gap,weighted_gap,year,time_gap,model,threshold
0,0.0,0.1,48221,0.0736878605146532,0.09203459073847493,0.01834673022382173,0.002355782635072169,2015,1,mlp,0.1569245504673814
1,0.1,0.2,209915,0.15427736937002492,0.18210227949408095,0.027824910124056024,0.015553121769520988,2015,1,mlp,0.1569245504673814
2,0.2,0.30000000000000004,112368,0.23328396749643082,0.2795190801651716,0.04623511266874075,0.013834227080150769,2015,1,mlp,0.1569245504673814
3,0.30000000000000004,0.4,5039,0.32058747996244996,0.34312363564199244,0.02253615567954248,0.00030238797812557965,2015,1,mlp,0.1569245504673814
4,0.4,0.5,0,,,,0.0,2015,1,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2015,1,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2015,1,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2015,1,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2015,1,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2015,1,mlp,0.1569245504673814
0,0.0,0.1,40878,0.07257081305402638,0.11468271441851363,0.04211190136448725,0.005874114264383754,2016,2,mlp,0.1569245504673814
1,0.1,0.2,163535,0.15385446383761672,0.21437001253554286,0.060515548697926136,0.033769574711797874,2016,2,mlp,0.1569245504673814
2,0.2,0.30000000000000004,84768,0.23289424982920703,0.31838665534163835,0.08549240551243131,0.024729046671732046,2016,2,mlp,0.1569245504673814
3,0.30000000000000004,0.4,3875,0.3214584333490419,0.3855483870967742,0.0640899537477323,0.0008474411830205819,2016,2,mlp,0.1569245504673814
4,0.4,0.5,1,0.40350240207308447,1.0,0.5964975979269156,2.0354320078582512e-06,2016,2,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2016,2,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2016,2,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2016,2,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2016,2,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2016,2,mlp,0.1569245504673814
0,0.0,0.1,29653,0.07045077283154166,0.11307456243887634,0.04262378960733468,0.007473661626130402,2017,3,mlp,0.1569245504673814
1,0.1,0.2,93631,0.15281333592679902,0.21980967841847251,0.0669963424916735,0.03709227661227364,2017,3,mlp,0.1569245504673814
2,0.2,0.30000000000000004,43873,0.2323821013293252,0.3287671232876712,0.096385021958346,0.025004583030555853,2017,3,mlp,0.1569245504673814
3,0.30000000000000004,0.4,1960,0.32049075664164767,0.3846938775510204,0.06420312090937275,0.0007440891038888496,2017,3,mlp,0.1569245504673814
4,0.4,0.5,0,,,,0.0,2017,3,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2017,3,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2017,3,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2017,3,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2017,3,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2017,3,mlp,0.1569245504673814
0,0.0,0.1,12918,0.06803628197639809,0.08391391856324508,0.015877636586846988,0.003652195680713842,2018,4,mlp,0.1569245504673814
1,0.1,0.2,30298,0.15060179846938312,0.15298039474552777,0.0023785962761446455,0.0012832391377249016,2018,4,mlp,0.1569245504673814
2,0.2,0.30000000000000004,12317,0.23268718413809797,0.23650239506373305,0.003815210925635082,0.0008367512993420104,2018,4,mlp,0.1569245504673814
3,0.30000000000000004,0.4,627,0.3226509499676635,0.3413078149920255,0.01865686502436198,0.0002082951276758362,2018,4,mlp,0.1569245504673814
4,0.4,0.5,0,,,,0.0,2018,4,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2018,4,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2018,4,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2018,4,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2018,4,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2018,4,mlp,0.1569245504673814
