year,n_rows,default_rate,pred_positive_rate,auc,f1,time_gap,model,threshold
2015,375543,0.2018463930894731,0.4490803982500007,0.6556841555686018,0.38964045964221866,1,logreg,0.5306358485564483
2016,293057,0.23281818895300233,0.43054081629171115,0.6542599885560934,0.42043806133681755,2,logreg,0.5306358485564483
2017,169117,0.23127184138791487,0.38977157825647335,0.6636951602054987,0.4207790229365223,3,logreg,0.5306358485564483
2018,56160,0.15751424501424502,0.32918447293447295,0.6600149303897245,0.3340284637617532,4,logreg,0.5306358485564483
2015,375543,0.2018463930894731,0.5856692842097976,0.6216685416465537,0.369147849844123,1,mlp,0.15692455046738227
2016,293057,0.23281818895300233,0.5718614467492672,0.6190507758705758,0.40423718391803815,2,mlp,0.15692455046738227
2017,169117,0.23127184138791487,0.5302187243151191,0.6290790285305278,0.4065972464882242,3,mlp,0.15692455046738227
2018,56160,0.15751424501424502,0.4652599715099715,0.626420798503857,0.3111365260900643,4,mlp,0.15692455046738227
2015,375543,0.2018463930894731,0.47577241487659205,0.6560246983326474,0.38858041064937615,1,xgboost,0.16295350513544427
2016,293057,0.23281818895300233,0.4500592034996605,0.6540045954184368,0.4208232977883491,2,xgboost,0.16295350513544427
2017,169117,0.23127184138791487,0.4074457328358474,0.660986041087096,0.4206150826714066,3,xgboost,0.16295350513544427
2018,56160,0.15751424501424502,0.3486645299145299,0.6613862234278576,0.3346818165828262,4,xgboost,0.16295350513544427
